lat,lng,lodgeunitid,html
39.901328,116.401958,14936062703,"<div class=""site_pop lodgeunitname"" detailurl=http://bj.xiaozhu.com/fangzi/14936062703.html id=""lodgeunit_14936062703"" key=""0-0""><div class=""site_room""><div class=""favorite  lodge_14936062703 wsc_ico r_10""   al=""14936062703""  title=""收藏""></div><a class=""resule_img_a""><img class=""maplazyimage"" lazysrc=""http://image.xiaozhustatic1.com/12/10,0,17,12004,2998,2000,5a759eb3.jpg""/></a><div class=""result_btm_con""><span class=""result_price"">&#165;<i>1800</i> </span><span class=""result_img""><a href=""http://www.xiaozhu.com/fangdong/14935624601/"" target=""_blank""><img class=""landlordimage4map"" lazysrc=""http://image.xiaozhustatic1.com/23/10,0,65,12029,329,329,31669fe7.jpg""/></a></span><div class=""result_intro""><a class=""resule_img_a""><span class=""result_title hiddenTxt"">前门大栅栏的独立四合院-Traditiona</span></a><em class=""hiddenTxt"">整套出租/4张床/宜住6人 - 0条评论</em><em class=""hiddenTxt""><span class=""mianyajin_ico"" title=""免押金：授权芝麻信用且分值大于600，可享受免押入住""></span><span class=""shipai_ico"" title=""实拍：专业摄影师上门拍摄，真实还原房间情况，确保所见与入住一致""></span><span class=""yanzhen_ico"" title=""验真：小猪人员实地考察房间、周边环境、交通等，确保房源的真实性""></span>&nbsp;</em></div></div></div><span class=""site_tri""></span><span class=""icon_logo""></span></div>"
40.112255,116.518143,4620363614,"<div class=""site_pop lodgeunitname"" detailurl=http://bj.xiaozhu.com/fangzi/4620363614.html id=""lodgeunit_4620363614"" key=""1-0""><div class=""site_room""><div class=""favorite  lodge_4620363614 wsc_ico r_10""   al=""4620363614""  title=""收藏""></div><a class=""resule_img_a""><img class=""maplazyimage"" lazysrc=""http://image.xiaozhustatic1.com/12/8,0,94,1382,1800,1200,6659dfc1.jpg""/></a><div class=""offer_s_new"">特价9.2折<span class="" del"">原价&#165;6288</span></div><div class=""result_btm_con""><span class=""result_price"">&#165;<i>5785</i> </span><span class=""result_img""><a href=""http://www.xiaozhu.com/fangdong/4620251313/"" target=""_blank""><img class=""landlordimage4map"" lazysrc=""http://image.xiaozhustatic1.com/23/7,0,42,12323,260,260,95271f87.jpg""/></a></span><div class=""result_intro""><a class=""resule_img_a""><span class=""result_title hiddenTxt"">北京最美临湖艺术园区</span></a><em class=""hiddenTxt"">整套出租/6张床铺/宜住10人以上 - 5分/5条评论</em><em class=""hiddenTxt""><span class=""youpin_ico"" title=""优品：房间精美，服务优质，出行入住首选""></span><span class=""shipai_ico"" title=""实拍：专业摄影师上门拍摄，真实还原房间情况，确保所见与入住一致""></span><span class=""yanzhen_ico"" title=""验真：小猪人员实地考察房间、周边环境、交通等，确保房源的真实性""></span><span class=""mensuo_ico"" title=""智能门锁：入住更方便，居住更安全""></span>&nbsp;</em></div></div></div><span class=""site_tri""></span><span class=""icon_logo""></span></div>"
40.370485,116.578911,15060442703,"<div class=""site_pop lodgeunitname"" detailurl=http://bj.xiaozhu.com/fangzi/15060442703.html id=""lodgeunit_15060442703"" key=""2-0""><div class=""site_room""><div class=""favorite  lodge_15060442703 wsc_ico r_10""   al=""15060442703""  title=""收藏""></div><a class=""resule_img_a""><img class=""maplazyimage"" lazysrc=""http://image.xiaozhustatic2.com/12/10,0,3,12457,1800,1200,26a8a783.jpg""/></a><div class=""result_btm_con""><span class=""result_price"">&#165;<i>2680</i> </span><span class=""result_img""><a href=""http://www.xiaozhu.com/fangdong/14969391901/"" target=""_blank""><img class=""landlordimage4map"" lazysrc=""http://image.xiaozhustatic1.com/23/10,0,33,12560,2166,2000,4e3a0c86.jpg""/></a></span><div class=""result_intro""><a class=""resule_img_a""><span class=""result_title hiddenTxt"">怀柔水长城 慕田峪 雁西湖 茉牛小院</span></a><em class=""hiddenTxt"">整套出租/6张床铺/宜住10人以上 - 0条评论</em><em class=""hiddenTxt""><span class=""mianyajin_ico"" title=""免押金：授权芝麻信用且分值大于600，可享受免押入住""></span><span class=""shipai_ico"" title=""实拍：专业摄影师上门拍摄，真实还原房间情况，确保所见与入住一致""></span><span class=""yanzhen_ico"" title=""验真：小猪人员实地考察房间、周边环境、交通等，确保房源的真实性""></span>&nbsp;</em></div></div></div><span class=""site_tri""></span><span class=""icon_logo""></span></div>"
39.906174,116.475667,2803985763,"<div class=""site_pop lodgeunitname"" detailurl=http://bj.xiaozhu.com/fangzi/2803985763.html id=""lodgeunit_2803985763"" key=""3-0""><div class=""site_room""><div class=""favorite  lodge_2803985763 wsc_ico r_10""   al=""2803985763""  title=""收藏""></div><a class=""resule_img_a""><img class=""maplazyimage"" lazysrc=""http://image.xiaozhustatic1.com/12/6,0,25,3184,1800,1200,4b993d38.jpg""/></a><div class=""result_btm_con""><span class=""result_price"">&#165;<i>428</i> </span><span class=""result_img""><a href=""http://www.xiaozhu.com/fangdong/1980302771/"" target=""_blank""><img class=""landlordimage4map"" lazysrc=""http://image.xiaozhustatic1.com/23/5,0,59,2841,363,363,8b6cf3d7.jpg""/></a></span><div class=""result_intro""><a class=""resule_img_a""><span class=""result_title hiddenTxt"">国贸双井10号线苹果酒店式公寓</span></a><em class=""hiddenTxt"">整套出租/1张床/宜住2人 - 4.9分/75条评论</em><em class=""hiddenTxt""><span class=""mianyajin_ico"" title=""免押金：授权芝麻信用且分值大于600，可享受免押入住""></span><span class=""shipai_ico"" title=""实拍：专业摄影师上门拍摄，真实还原房间情况，确保所见与入住一致""></span><span class=""yanzhen_ico"" title=""验真：小猪人员实地考察房间、周边环境、交通等，确保房源的真实性""></span><span class=""mensuo_ico"" title=""智能门锁：入住更方便，居住更安全""></span>&nbsp;</em></div></div></div><span class=""site_tri""></span><span class=""icon_logo""></span></div>"
40.016324,116.468849,10676901259,"<div class=""site_pop lodgeunitname"" detailurl=http://bj.xiaozhu.com/fangzi/10676901259.html id=""lodgeunit_10676901259"" key=""4-0""><div class=""site_room""><div class=""favorite  lodge_10676901259 wsc_ico r_10""   al=""10676901259""  title=""收藏""></div><a class=""resule_img_a""><img class=""maplazyimage"" lazysrc=""http://image.xiaozhustatic1.com/12/9,0,54,15465,1800,1200,6758b8bb.jpg""/></a><div class=""result_btm_con""><span class=""result_price"">&#165;<i>798</i> </span><span class=""result_img""><a href=""http://www.xiaozhu.com/fangdong/6510616315/"" target=""_blank""><img class=""landlordimage4map"" lazysrc=""http://image.xiaozhustatic1.com/23/9,0,55,9287,363,363,40791a1c.jpg""/></a></span><div class=""result_intro""><a class=""resule_img_a""><span class=""result_title hiddenTxt"">望京商圈紧邻SoHo新国展奥运村机场14号线</span></a><em class=""hiddenTxt"">整套出租/3张床/宜住6人 - 4.9分/7条评论</em><em class=""hiddenTxt""><span class=""shanglv_ico"" title=""商旅认证：7*24小时可入住，可开发票，卫生赔付保障，出行便捷""></span><span class=""changzu_ico"" title=""长租优惠：预订满7天9.5折，满30天9折""></span><span class=""mianyajin_ico"" title=""免押金：授权芝麻信用且分值大于600，可享受免押入住""></span><span class=""shipai_ico"" title=""实拍：专业摄影师上门拍摄，真实还原房间情况，确保所见与入住一致""></span><span class=""yanzhen_ico"" title=""验真：小猪人员实地考察房间、周边环境、交通等，确保房源的真实性""></span><span class=""mensuo_ico"" title=""智能门锁：入住更方便，居住更安全""></span>&nbsp;</em></div></div></div><span class=""site_tri""></span><span class=""icon_logo""></span></div>"
39.799171,116.408058,1431728635,"<div class=""site_pop lodgeunitname"" detailurl=http://bj.xiaozhu.com/fangzi/1431728635.html id=""lodgeunit_1431728635"" key=""5-0""><div class=""site_room""><div class=""favorite  lodge_1431728635 wsc_ico r_10""   al=""1431728635""  title=""收藏""></div><a class=""resule_img_a""><img class=""maplazyimage"" lazysrc=""http://image.xiaozhustatic1.com/12/4,0,62,6999,1800,1200,d8894956.jpg""/></a><div class=""offer_s_new"">特价9.2折<span class="" del"">原价&#165;188</span></div><div class=""result_btm_con""><span class=""result_price"">&#165;<i>173</i> </span><span class=""result_img""><a href=""http://www.xiaozhu.com/fangdong/805070438/"" target=""_blank""><img class=""landlordimage4map"" lazysrc=""http://image.xiaozhustatic1.com/23/3,0,63,2270,320,320,3b326db8.jpg""/></a></span><div class=""result_intro""><a class=""resule_img_a""><span class=""result_title hiddenTxt"">机场附近80后后现代轻奢风格温馨小窝欢迎您！</span></a><em class=""hiddenTxt"">独立单间/1张床/宜住1人 - 5分/19条评论</em><em class=""hiddenTxt""><span class=""youpin_ico"" title=""优品：房间精美，服务优质，出行入住首选""></span><span class=""mianyajin_ico"" title=""免押金：授权芝麻信用且分值大于600，可享受免押入住""></span><span class=""shipai_ico"" title=""实拍：专业摄影师上门拍摄，真实还原房间情况，确保所见与入住一致""></span><span class=""yanzhen_ico"" title=""验真：小猪人员实地考察房间、周边环境、交通等，确保房源的真实性""></span><span class=""mensuo_ico"" title=""智能门锁：入住更方便，居住更安全""></span>&nbsp;</em></div></div></div><span class=""site_tri""></span><span class=""icon_logo""></span></div>"
40.417078,116.339502,14437876301,"<div class=""site_pop lodgeunitname"" detailurl=http://bj.xiaozhu.com/fangzi/14437876301.html id=""lodgeunit_14437876301"" key=""6-0""><div class=""site_room""><div class=""favorite  lodge_14437876301 wsc_ico r_10""   al=""14437876301""  title=""收藏""></div><a class=""resule_img_a""><img class=""maplazyimage"" lazysrc=""http://image.xiaozhustatic1.com/12/10,0,75,11142,1800,1200,5adc6497.jpg""/></a><div class=""result_btm_con""><span class=""result_price"">&#165;<i>580</i> </span><span class=""result_img""><a href=""http://www.xiaozhu.com/fangdong/12657906101/"" target=""_blank""><img class=""landlordimage4map"" lazysrc=""http://image.xiaozhustatic1.com/23/10,0,73,13491,329,329,240be738.jpg""/></a></span><div class=""result_intro""><a class=""resule_img_a""><span class=""result_title hiddenTxt"">遇花园 大榻榻米房《欢乐时光》</span></a><em class=""hiddenTxt"">独立单间/2张榻榻米/宜住4人 - 0条评论</em><em class=""hiddenTxt""><span class=""mianyajin_ico"" title=""免押金：授权芝麻信用且分值大于600，可享受免押入住""></span><span class=""shipai_ico"" title=""实拍：专业摄影师上门拍摄，真实还原房间情况，确保所见与入住一致""></span><span class=""yanzhen_ico"" title=""验真：小猪人员实地考察房间、周边环境、交通等，确保房源的真实性""></span>&nbsp;</em></div></div></div><span class=""site_tri""></span><span class=""icon_logo""></span></div>"
39.939816,116.462894,3220092330,"<div class=""site_pop lodgeunitname"" detailurl=http://bj.xiaozhu.com/fangzi/3220092330.html id=""lodgeunit_3220092330"" key=""7-0""><div class=""site_room""><div class=""favorite  lodge_3220092330 wsc_ico r_10""   al=""3220092330""  title=""收藏""></div><a class=""resule_img_a""><img class=""maplazyimage"" lazysrc=""http://image.xiaozhustatic1.com/12/8,0,90,1035,1800,1200,850c6901.jpg""/></a><div class=""offer_s_new"">特价9.2折<span class="" del"">原价&#165;335</span></div><div class=""result_btm_con""><span class=""result_price"">&#165;<i>308</i>起/晚 </span><span class=""result_img""><a href=""http://www.xiaozhu.com/fangdong/658246400/"" target=""_blank""><img class=""landlordimage4map"" lazysrc=""http://image.xiaozhustatic1.com/23/3,0,55,2680,383,383,fd29c248.jpg""/></a></span><div class=""result_intro""><a class=""resule_img_a""><span class=""result_title hiddenTxt"">太古里、使馆区、三里屯SOHO旁温馨逼格房间</span></a><em class=""hiddenTxt"">独立单间/1张床/宜住2人 - 5分/38条评论</em><em class=""hiddenTxt""><span class=""shanglv_ico"" title=""商旅认证：7*24小时可入住，可开发票，卫生赔付保障，出行便捷""></span><span class=""mianyajin_ico"" title=""免押金：授权芝麻信用且分值大于600，可享受免押入住""></span><span class=""shipai_ico"" title=""实拍：专业摄影师上门拍摄，真实还原房间情况，确保所见与入住一致""></span><span class=""yanzhen_ico"" title=""验真：小猪人员实地考察房间、周边环境、交通等，确保房源的真实性""></span><span class=""mensuo_ico"" title=""智能门锁：入住更方便，居住更安全""></span>&nbsp;</em></div></div></div><span class=""site_tri""></span><span class=""icon_logo""></span></div>"
39.946734,116.393329,6214168916,"<div class=""site_pop lodgeunitname"" detailurl=http://bj.xiaozhu.com/fangzi/6214168916.html id=""lodgeunit_6214168916"" key=""8-0""><div class=""site_room""><div class=""favorite  lodge_6214168916 wsc_ico r_10""   al=""6214168916""  title=""收藏""></div><a class=""resule_img_a""><img class=""maplazyimage"" lazysrc=""http://image.xiaozhustatic1.com/12/8,0,99,7667,1800,1200,3ff683e4.jpg""/></a><div class=""offer_s_new"">特价9.2折<span class="" del"">原价&#165;1480</span></div><div class=""result_btm_con""><span class=""result_price"">&#165;<i>1362</i> </span><span class=""result_img""><a href=""http://www.xiaozhu.com/fangdong/6213971515/"" target=""_blank""><img class=""landlordimage4map"" lazysrc=""http://image.xiaozhustatic1.com/23/8,0,0,6672,169,169,7435a0cb.jpg""/></a></span><div class=""result_intro""><a class=""resule_img_a""><span class=""result_title hiddenTxt"">后海的家—海景房（观海、吹海风的最佳场所）</span></a><em class=""hiddenTxt"">整套出租/2张床铺/宜住3人 - 4.9分/15条评论</em><em class=""hiddenTxt""><span class=""tejia_ico"" title=""活动有效期为07.11-08.06""></span><span class=""mianyajin_ico"" title=""免押金：授权芝麻信用且分值大于600，可享受免押入住""></span><span class=""shipai_ico"" title=""实拍：专业摄影师上门拍摄，真实还原房间情况，确保所见与入住一致""></span><span class=""yanzhen_ico"" title=""验真：小猪人员实地考察房间、周边环境、交通等，确保房源的真实性""></span>&nbsp;</em></div></div></div><span class=""site_tri""></span><span class=""icon_logo""></span></div>"
39.898294,116.469054,2919537862,"<div class=""site_pop lodgeunitname"" detailurl=http://bj.xiaozhu.com/fangzi/2919537862.html id=""lodgeunit_2919537862"" key=""9-0""><div class=""site_room""><div class=""favorite  lodge_2919537862 wsc_ico r_10""   al=""2919537862""  title=""收藏""></div><a class=""resule_img_a""><img class=""maplazyimage"" lazysrc=""http://image.xiaozhustatic1.com/12/9,0,74,7935,1800,1200,3fd4c3bf.jpg""/></a><div class=""offer_s_new"">特价9.2折<span class="" del"">原价&#165;826</span></div><div class=""result_btm_con""><span class=""result_price"">&#165;<i>760</i> </span><span class=""result_img""><a href=""http://www.xiaozhu.com/fangdong/2546427863/"" target=""_blank""><img class=""landlordimage4map"" lazysrc=""http://image.xiaozhustatic1.com/23/9,0,2,10682,260,260,1a3cbb4f.jpg""/></a></span><div class=""result_intro""><a class=""resule_img_a""><span class=""result_title hiddenTxt"">北京核心地段国贸长安街天安门地铁站旁大三居</span></a><em class=""hiddenTxt"">整套出租/5张床铺/宜住8人 - 4.9分/54条评论</em><em class=""hiddenTxt""><span class=""shanglv_ico"" title=""商旅认证：7*24小时可入住，可开发票，卫生赔付保障，出行便捷""></span><span class=""mianyajin_ico"" title=""免押金：授权芝麻信用且分值大于600，可享受免押入住""></span><span class=""shipai_ico"" title=""实拍：专业摄影师上门拍摄，真实还原房间情况，确保所见与入住一致""></span><span class=""yanzhen_ico"" title=""验真：小猪人员实地考察房间、周边环境、交通等，确保房源的真实性""></span><span class=""mensuo_ico"" title=""智能门锁：入住更方便，居住更安全""></span>&nbsp;</em></div></div></div><span class=""site_tri""></span><span class=""icon_logo""></span></div>"
